trial,partner_choice,partner_reward,obs_randomized_img_order,self_randomized_img_order
0,2,1,2-1-0,1-2-0
1,0,0,0-1-2,0-2-1
2,2,0,1-2-0,1-2-0
3,1,1,0-2-1,2-0-1
4,1,0,0-2-1,2-1-0
5,1,0,1-0-2,2-0-1
6,2,1,0-1-2,1-0-2
7,2,1,0-1-2,1-0-2
8,2,1,2-1-0,2-1-0
9,2,1,0-1-2,1-2-0
10,2,1,2-1-0,1-0-2
11,2,0,0-1-2,0-1-2
12,2,0,2-0-1,2-1-0
13,1,0,0-2-1,0-2-1
14,2,0,0-2-1,1-0-2
15,0,0,1-0-2,2-1-0
16,1,0,0-2-1,2-1-0
17,2,0,0-2-1,0-2-1
18,1,0,1-2-0,1-2-0
19,2,0,2-0-1,2-1-0
20,2,1,0-2-1,2-1-0
21,2,1,1-2-0,2-0-1
22,2,1,2-0-1,2-1-0
23,2,1,2-1-0,1-0-2
24,2,1,0-2-1,0-1-2
25,2,1,2-0-1,1-0-2
26,2,1,2-0-1,0-2-1
27,2,1,2-0-1,1-2-0
28,2,1,0-2-1,1-2-0
29,2,0,1-2-0,0-1-2
